    0    1    2    3    4    5    6    7    8    9
    0   81   39   60   23   92    6    9   68    3
   71    0    9   61   16   95   42    3   79   59
   49   98    0   85   65   97   24   26   75   25
   22   82   80    0   53   23    5    4   33   33
   69   10   47   26    0   58   74   27    1   49
   36   34   75   32   86    0   25   57   17    5
   36  100   49   94   22   26    0    3   49   73
   11   28   77   44   70   78   80    0    8   93
   53   36   41   30   94   56   50   11    0   16
   87   34    9   71   79   37   68   90   57    0
